iter	Passed	Remaining
0	5	2343
1	11	2202
2	16	2186
3	21	2142
4	26	2116
5	31	2088
6	36	2071
7	42	2069
8	47	2069
9	53	2076
10	59	2105
11	65	2130
12	71	2132
13	77	2127
14	82	2120
15	87	2107
16	93	2099
17	98	2088
18	104	2091
19	110	2101
20	116	2099
21	121	2092
22	127	2082
23	132	2083
24	139	2086
25	145	2085
26	150	2081
27	155	2069
28	160	2059
29	166	2050
30	171	2041
31	176	2031
32	181	2022
33	186	2011
34	192	2005
35	197	1996
36	203	1994
37	208	1982
38	213	1973
39	217	1960
40	222	1949
41	227	1939
42	232	1929
43	237	1919
44	242	1909
45	246	1899
46	251	1889
47	256	1880
48	261	1874
49	266	1868
50	272	1862
51	277	1854
52	282	1848
53	288	1845
54	293	1838
55	297	1829
56	302	1823
57	307	1815
58	312	1808
59	317	1798
60	322	1790
61	327	1782
62	331	1774
63	336	1768
64	341	1761
65	347	1756
66	351	1748
67	356	1741
68	361	1734
69	365	1724
70	371	1720
71	377	1718
72	382	1713
73	388	1710
74	393	1706
75	399	1702
76	404	1698
77	410	1694
78	416	1691
79	421	1687
80	427	1683
81	432	1678
82	438	1673
83	443	1669
84	449	1666
85	455	1663
86	461	1659
87	466	1654
88	472	1650
89	477	1645
90	483	1641
91	489	1637
92	494	1631
93	499	1625
94	504	1619
95	509	1613
96	514	1608
97	520	1603
98	524	1593
99	528	1586
100	533	1579
101	538	1573
102	543	1566
103	548	1560
104	553	1554
105	557	1547
106	561	1537
107	566	1530
108	570	1524
109	575	1517
110	580	1512
111	585	1506
112	590	1500
113	595	1494
114	600	1489
115	606	1483
116	611	1478
117	616	1472
118	620	1465
119	625	1459
120	630	1453
121	635	1447
122	640	1441
123	645	1435
124	649	1429
125	654	1424
126	659	1418
127	664	1412
128	669	1406
129	674	1400
130	679	1394
131	684	1389
132	689	1383
133	694	1378
134	699	1372
135	704	1367
136	709	1361
137	714	1356
138	719	1350
139	724	1345
140	729	1339
141	734	1334
142	739	1328
143	744	1323
144	750	1319
145	755	1313
146	760	1308
147	766	1304
148	771	1299
149	777	1295
150	782	1290
151	788	1286
152	794	1282
153	799	1277
154	805	1273
155	811	1269
156	817	1264
157	822	1260
158	829	1257
159	834	1251
160	839	1245
161	844	1240
162	849	1235
163	855	1230
164	860	1225
165	865	1219
166	870	1214
167	875	1208
168	880	1203
169	885	1197
170	890	1192
171	895	1186
172	900	1181
173	905	1175
174	910	1170
175	915	1164
176	919	1158
177	924	1153
178	929	1147
179	934	1142
180	939	1136
181	945	1132
182	948	1124
183	953	1119
184	959	1114
185	964	1109
186	969	1104
187	974	1098
188	979	1093
189	984	1087
190	988	1082
191	993	1076
192	998	1071
193	1003	1065
194	1008	1059
195	1012	1054
196	1018	1049
197	1023	1043
198	1028	1038
199	1033	1033
200	1038	1028
201	1043	1022
202	1048	1017
203	1053	1012
204	1059	1007
205	1064	1002
206	1069	997
207	1074	991
208	1078	985
209	1083	980
210	1088	974
211	1093	969
212	1098	964
213	1102	958
214	1107	952
215	1112	947
216	1116	941
217	1121	936
218	1126	931
219	1131	926
220	1136	920
221	1141	915
222	1146	909
223	1151	904
224	1156	899
225	1161	894
226	1166	888
227	1170	883
228	1175	877
229	1180	872
230	1185	866
231	1189	861
232	1194	856
233	1199	850
234	1203	845
235	1208	839
236	1213	834
237	1218	829
238	1222	823
239	1227	818
240	1232	813
241	1237	808
242	1242	802
243	1247	797
244	1252	792
245	1257	787
246	1262	782
247	1268	777
248	1273	772
249	1278	766
250	1283	761
251	1288	756
252	1292	751
253	1297	746
254	1302	740
255	1307	735
256	1312	730
257	1317	725
258	1322	719
259	1327	714
260	1332	709
261	1337	704
262	1342	699
263	1347	694
264	1352	689
265	1357	684
266	1362	678
267	1367	673
268	1372	668
269	1378	663
270	1386	660
271	1393	655
272	1401	651
273	1406	646
274	1413	642
275	1418	637
276	1424	632
277	1429	627
278	1434	622
279	1440	617
280	1446	612
281	1451	607
282	1456	602
283	1460	596
284	1465	591
285	1470	586
286	1475	580
287	1480	575
288	1484	570
289	1490	565
290	1495	559
291	1499	554
292	1504	549
293	1509	544
294	1514	539
295	1519	533
296	1524	528
297	1529	523
298	1534	518
299	1540	513
300	1545	508
301	1550	503
302	1555	497
303	1559	492
304	1565	487
305	1569	482
306	1575	477
307	1580	472
308	1585	466
309	1590	461
310	1595	456
311	1600	451
312	1605	446
313	1609	440
314	1614	435
315	1619	430
316	1624	425
317	1629	420
318	1634	414
319	1639	409
320	1644	404
321	1649	399
322	1654	394
323	1659	389
324	1664	384
325	1668	378
326	1673	373
327	1678	368
328	1683	363
329	1688	358
330	1693	353
331	1698	347
332	1704	342
333	1709	337
334	1714	332
335	1719	327
336	1725	322
337	1730	317
338	1735	312
339	1740	307
340	1745	302
341	1750	296
342	1755	291
343	1761	286
344	1766	281
345	1771	276
346	1777	271
347	1783	266
348	1788	261
349	1794	256
350	1799	251
351	1804	246
352	1810	241
353	1815	235
354	1821	230
355	1826	225
356	1832	220
357	1837	215
358	1843	210
359	1848	205
360	1854	200
361	1859	195
362	1864	190
363	1870	184
364	1875	179
365	1881	174
366	1886	169
367	1891	164
368	1896	159
369	1901	154
370	1906	149
371	1912	143
372	1917	138
373	1922	133
374	1928	128
375	1932	123
376	1937	118
377	1942	113
378	1947	107
379	1951	102
380	1956	97
381	1961	92
382	1966	87
383	1971	82
384	1975	76
385	1980	71
386	1985	66
387	1990	61
388	1995	56
389	2000	51
390	2005	46
391	2010	41
392	2014	35
393	2019	30
394	2025	25
395	2030	20
396	2035	15
397	2040	10
398	2045	5
399	2049	0
