RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,balance_salary_ratio,products_per_year,age_group,engagement_score,credit_score_band,is_zero_balance,high_value_customer,tenure_stability,age_tenure_ratio,inactive_high_balance,clv_estimated,Exited
1,10134090,796,2,0,25,0,0.0,1,0,0,198096.84,0.0,1.0,0,0.075,3,1,0,0,25.0,0,5000.0,0
2,19945303,708,0,0,89,3,0.0,1,0,0,66296.6,0.0,0.25,3,0.075,2,1,0,1,22.25,0,2959.7,0
3,12558230,414,2,1,57,7,0.0,2,1,1,183184.68,0.0,0.25,2,0.85,0,1,0,2,7.125,0,5000.0,0
4,17143560,848,1,1,92,4,44679.03,2,1,0,180765.6,0.2471641885171265,0.4,3,0.35,4,0,0,1,18.4,0,5000.0,1
5,13154553,846,0,1,49,1,58859.78,2,0,0,172460.17,0.34129294147778305,1.0,2,0.15,4,0,0,0,24.5,1,5000.0,1
6,19917485,322,2,1,80,10,101095.19,2,0,1,40126.48,2.519350579702488,0.18181818181818182,3,0.65,0,0,0,2,7.2727272727272725,0,3034.58,0
7,18991829,314,2,1,42,2,159809.45,2,1,1,135352.44,1.1806825892271375,0.6666666666666666,1,0.85,0,0,0,0,14.0,0,5000.0,0
8,19721095,434,2,0,51,0,0.0,3,0,0,82179.89,0.0,3.0,2,0.225,0,1,0,0,51.0,0,3944.71,0
9,19303918,737,0,1,44,4,198872.83,1,1,1,99834.81,1.9919989630975097,0.2,1,0.775,2,0,0,1,8.8,0,4746.38,0
10,13508663,629,0,1,59,1,0.0,1,1,0,39285.62,0.0,0.5,2,0.275,1,1,0,0,29.5,0,1527.6,1
11,16452452,582,0,0,34,6,0.0,3,1,1,195672.29,0.0,0.42857142857142855,1,0.925,1,1,0,2,4.857142857142857,0,5000.0,0
12,10315300,528,2,1,55,4,0.0,2,1,0,60461.95,0.0,0.4,2,0.35,0,1,0,1,11.0,0,3352.13,0
13,11073592,564,1,1,80,10,0.0,1,1,0,173118.46,0.0,0.09090909090909091,3,0.275,0,1,0,2,7.2727272727272725,0,5000.0,0
14,16282567,651,2,1,29,1,229844.1,1,0,1,21445.09,10.717296253069907,0.5,0,0.575,1,0,0,0,14.5,0,836.27,0
15,14809330,335,0,0,77,2,177815.47,2,0,0,160540.87,1.1075956073016964,0.6666666666666666,3,0.15,0,0,1,0,25.666666666666668,1,5000.0,1
16,19440216,623,0,1,82,7,222361.55,1,0,0,161396.42,1.3777267938979445,0.125,3,0.075,1,0,1,2,10.25,1,5000.0,0
