feature,mean_abs_shap
inactive_high_balance,0.5899865367382067
Geography,0.5629234073110755
engagement_score,0.41463520323886843
age_group,0.37627746920291655
IsActiveMember,0.3363568038924766
Age,0.22226519237288755
balance_salary_ratio,0.14727866614252022
CreditScore,0.11242044338984374
Balance,0.10562301374145547
credit_score_band,0.09663709742497421
age_tenure_ratio,0.08905219954353912
EstimatedSalary,0.08831243609297305
NumOfProducts,0.08170932065480606
tenure_stability,0.0775993541122999
products_per_year,0.07257366358022613
